text,sentiment_score
Walmart FY2023 ESG Highlights Introduction Opportunity Sustainability Community Ethics & Integrity 4 LEADERSHIP LETTERS A Message from our Chief Executive Officer,0.0
Walmart FY2023 ESG Highlights Introduction Opportunity Sustainability Community Ethics & Integrity 5 LEADERSHIP LETTERS A Message from our Chief Sustainability Officer,0.0
Walmart FY2023 ESG Highlights Awards & Recognition #3 Fortune Change the World Listed on the 2023 Bloomberg Gender Equality Index #1 100% retailer in the EPA's Green Power Partnership rankings 2022 Disability Equality Index For seventh consecutive year For eighth consecutive year Introduction Opportunity Sustainability Community Ethics & Integrity 6 #17 One of America's Top Corporations for Women's Business Enterprises - from the Women's Business Enterprise National Council 2023 DiversityInc Top 50 Companies for Diversity 100% on the 2022 Human Rights Campaign's Corporate Equality Index #1 in National Truck Safety by the American Trucking Association Great Place to Work Certified Walmart Inc. and Sam's Club (2023),0.2285714285714286
"Walmart FY2023 ESG Highlights Our Company Walmart is a people-led, tech-powered omni-channel retailer dedicated to helping people save money and live better - anytime and anywhere - by providing the opportunity to shop in both retail stores and through eCommerce, and to access our other service offerings. Through innovation, we strive to continuously improve a customer-centric experience that seamlessly integrates our eCommerce and retail stores in an omni-channel offering that saves time for our customers. Our strategy is to bring our purpose to life, which means making every day easier for busy families, operating with discipline, sharpening our culture, becoming more digital, and making trust a competitive advantage. We are committed to doing this in a way that is regenerative - helping to renew people and the planet through our business. OUR BUSINESS IN FY2023 Omni-channel retailer serving approximately 240 million customers per week ~2.1 million associates 10,500 stores and eCommerce websites in 20 countries OUR VALUES Respect for the Individual Service to the Customer Strive for Excellence Act with Integrity S $611 billion in revenue Introduction Opportunity Sustainability Community Ethics & Integrity 7 HOW WALMART CREATES VALUE FOR STAKEHOLDERS · Communities: Resources to build stronger, more inclusive communities . Planet: Leadership on zero emissions, zero waste and our regenerative approach to nature · Customers: Convenient access to quality, affordable products and services · Associates: Purpose-driven work; opportunity for good jobs and upward mobility · Shareholders: Strong long-term returns through financial and ESG leadership · Suppliers: Access to customers and support for supplier development and growth . Business Partners: Access to and understanding of engaged customers for our sellers, advertisers, and ecosystem partners",0.17964646464646464
"Walmart FY2023 ESG Highlights alman vers t.com Introduction Opportunity Sustainability Community OUR APPROACH TO ESG Creating Shared Value Shared value - addressing societal issues in ways that create value for our business and stakeholders - lies at the heart of Walmart's enterprise strategy and our approach to ESG issues. We believe we maximize long-term value for shareholders by serving our stakeholders: our customers, associates, suppliers, business partners, communities, and even the planet. Addressing such societal needs builds the value of our business and as business strengthens society, society strengthens business. We aspire to become a regenerative company - helping to renew people and the planet through our business. Each of our ESG priority issue areas offers a discrete shared value proposition: an opportunity to meet a societal need through our business. Doing so aligns our business objectives with societal objectives and increases our ability to create value for the long term. Read more: Our ESG Priorities Ethics & Integrity 8 Management of ESG Leadership of ESG issues starts with our CEO - with oversight from our Board of Directors - and cascades across our enterprise. The Board's Nominating & Governance Committee (NGC) exercises oversight over Walmart's overall ESG strategy and certain priority issues, while other Board committees retain oversight over specific ESG issues. Walmart's Chief Sustainability Officer (CSO) helps define the ESG agenda and provides dedicated management and oversight of Walmart's global ESG initiatives and goals. The CSO provides updates to the Walmart executive leadership team and NGC. We have additional governance bodies at the management level, including the ESG Steering Committee and the ESG Disclosure Committee that help guide ESG strategy and disclosure. Read more: ESG Oversight and Management and Corporate Governance ESG Brief",0.09494047619047619
"Walmart FY2023 ESG Highlights OUR APPROACH TO ESG Our ESG Priorities We prioritize the ESG issues that offer the greatest potential for Walmart to create shared value; these are issues that rank high in relevance to our business and stakeholders as well as Walmart's ability to make a difference. For each priority ESG issue, our disclosures aim to: · Articulate the relevance of the issue for societyand Walmart's business · Reflect an understanding of stakeholder expectations · Share our aspirations, goals, and strategies to create shared value · Describe our progress, opportunities, and challenges Read more: Our ESG Priorities Introduction Opportunity Sustainability Community Ethics & Integrity Opportunity · Good jobs and advancement for associates · Equity and inclusion at Walmart and beyond · Growth for suppliers, sellers, and local economies Sustainability · Climate and renewable energy leadership · Zero waste in operations, products, and packaging · Regeneration of natural resources: forests, land, and oceans Community C · Serving communities · Access to safer, healthier food, products, and services · Disaster preparedness and response Ethics & Integrity · Highest ethical and compliance standards · Strong corporate governance · Engagement in public policy · Digital citizenship · Respect for human rights 9 Stakeholder Engagement Our ability to create shared value depends on direct and frequent engagement with our customers, associates, and community leaders, as well as the people who supply our products, hold our stock, and evaluate our performance. Stakeholder perspectives and feedback help improve the relevance and effectiveness of the products and services we offer and the initiatives we support. Day to day, we engage with customers, fellow associates, suppliers, members of the communities where we operate, and shareholders. Additionally, our 2021 ESG priority assessment included extensive outreach to stakeholders, including customers, associates, shareholders, suppliers, and NGOs, to understand their perspectives on which issues Walmart should prioritize. Read more: Stakeholder Engagement",0.14701754385964913
"FY2023 ESG Highlights Walmart Opportunity Retail can be a powerful engine for inclusive economic opportunity. We aim to advance equity and opportunity throughout Walmart, our product supply chain, and local communities to fulfill our customer mission, strengthen our business, and help people build a better life for themselves and their families. - RELATED ESG ISSUE BRIEFS: E Human Capital: Good Jobs & Advancement for Associates E Equity & Inclusion at Walmart & Beyond Supplier Opportunity",0.24285714285714285
"Walmart FY2023 ESG Highlights Introduction Opportunity Sustainability Community Ethics & Integrity Opportunity Highlights 11 68% $ 47 BILLION $21.75 U.S. associate average total hourly compensation1 full-time U.S. hourly associates2 37% of U.S. officers are women 28% of U.S. officers are people of color >34,000 ASSOCIATES enrolled in Live Better U >180,000 U.S. ASSOCIATES received promotions; 88% of roles4 above entry level filled internally cumulative total purchases supporting American jobs (2021 through FY2023) >$13 BILLION sourced from ~2,400 diverse suppliers5 to U.S. businesses",0.11363636363636362
"FY2023 ESG Highlights Walmart Introduction Opportunity Sustainability Community Ethics & Integrity 12 Human Capital: Good Jobs & Advancement for Associates Our aspiration: making retail a place of inclusive and equitable opportunity where people can gain skills and experience to advance their careers STRATEGY · Continued investment in wages (+54% in the average hourly wage since 2015) and benefits, increasing average total compensation to >$21.75/hour, and enhancing parental leave and family- building benefits · Enhanced engagement capabilities, including through digital Engagement Pulse Surveys and the MyFeedback portal · Connected U.S. frontline associates to career paths, with 88%6 of roles above entry level filled internally and >180,000 promotions7 Associate Listening and Feedback As Walmart associates, engaging and listening to each other has been core to our culture since our founding more than 60 years ago. As the world becomes more digital, it creates additional opportunities to solicit feedback from and respond to each other. In FY2023, Walmart U.S. introduced the Engagement Pulse Survey, a monthly survey administered to over one million Walmart U.S. frontline associates via the Me@Walmart app that helps leaders improve engagement, retention, and the overall associate experience. Additionally, our Associate Engagement Survey now provides the opportunity to submit open-text feedback, and more than 500,000 associates did so during our 2022 survey. U.S .- based associates can also utilize the MyFeedback Portal, which was designed and launched as a digital, intuitive, self-service site. Hundreds of associates utilize this channel each month. Feedback results are provided to leaders to create action plans and inform enhancements to our overall associate value proposition and ways of working. In FY2023, for example, benefits, training, and education enhancements were made because of associate feedback. AVERAGE HOURLY WAGE AND TOTAL COMPENSATION (END OF FY2023)8 See our Human Capital ESG brief for more information",0.11600000000000002
"Walmart FY2023 ESG Highlights Introduction Opportunity Sustainability 66 All of my dreams were coming true. I was ready for the next step of my career. HUMAN CAPITAL SPOTLIGHT Community Ethics & Integrity 13 Career Growth Through Live Better U - JARRYN ROBERTSON, PROJECT ANALYST Jarryn Robertson joined Walmart in 2009 as a part-time cash office associate at Store 1196 in New Roads, Louisiana, before transferring to work in asset protection in a supercenter and then a distribution center. Prior to working at Walmart, she'd wanted to get a college degree and had taken classes on and off after high school but never finished. Time, money, and a lack of direction had gotten in the way. In 2018 she heard about a new program Walmart was launching - Live Better U. She took advantage of the new, exciting opportunity and enrolled at Bellevue University, ultimately graduating with a business degree in December 2021. her skills and determination through rotations with several Home Office teams. Her hard work paid off: Jarryn was offered - and accepted - a job as a project analyst on the Non-Traditional Talent Pathways Team at the Home Office in Bentonville, Arkansas. ""When I received the job offer, I started to cry,"" she recalls. ""All of my dreams were coming true. I was ready for the next step of my career."" LIVE BETTER U Shortly after graduating, Jarryn learned about the Home Office Pathway Experience, a new program designed to connect frontline associates who are recent or soon-to-be college graduates with Home Office roles. Once Jarryn was accepted into the Home Office Pathway Experience program in early 2022, she worked hard to show Jarryn's story is just one of the thousands of stories of associates who have completed Live Better U programs, opening up new pathways to career progression and promotion at Walmart. The education and skills gained through Live Better U have propelled many associates to grow their careers at Walmart.",0.15706773618538325
